outcome,scenario,theta_true,method,R,decision,decision_mcse,coverage,coverage_mcse,bias,rmse,mean_M,mean_rhat
continuous,S2,0.0,ps_uip_c,1000,0.063,0.007683163410991596,0.94,0.007509993342207438,0.014253704094623086,0.16098291267781945,1.9650913829148093,
continuous,S2,0.0,standard_uip,1000,0.909,0.009094998625618366,0.136,0.010839926199010766,0.4417666679034727,0.4659114982156819,300.0,
continuous,S2,0.4,no_borrowing,1000,0.82,0.012149074038789953,0.95,0.006892024376045114,0.009912688676836819,0.15748148893913286,0.0,
continuous,S2,0.4,pooling,1000,1.0,0.0,0.209,0.012857643641040918,0.4039551510539924,0.4271754689327111,300.0,
continuous,S2,0.4,ps_power_prior,1000,0.973,0.005125524363418832,0.529,0.01578477114183161,0.2646652101988479,0.36240131402562503,26.675849571564573,
continuous,S2,0.4,ps_uip_c,1000,0.832,0.011822690049223148,0.949,0.006956938982052382,0.013255559122932022,0.15843475382753944,2.0649705019030846,
continuous,S2,0.4,standard_uip,1000,1.0,0.0,0.143,0.011070275515993266,0.4481312104115853,0.4744933142938336,300.0,
continuous,S3,0.0,no_borrowing,1000,0.049,0.006826346021115542,0.951,0.006826346021115546,0.007530560704511741,0.1620948248747348,0.0,
continuous,S3,0.0,pooling,1000,1.0,0.0,0.001,0.0009994998749374609,0.52862161623934,0.5386797687577933,300.0,
continuous,S3,0.0,ps_power_prior,1000,0.857,0.011070275515993268,0.213,0.012947239087929134,0.3513948027864184,0.37079933746277133,60.0,
continuous,S3,0.0,ps_uip_c,1000,0.057,0.007331507348424334,0.945,0.007209368904418752,0.007984323585339124,0.162903146137694,0.32001135743315434,
continuous,S3,0.0,standard_uip,1000,0.999,0.0009994998749374613,0.003,0.001729450779872038,0.5252290760651926,0.5367106906338275,300.0,
continuous,S3,0.4,no_borrowing,1000,0.771,0.013287550564344055,0.944,0.007270763371201131,-0.011279703139706257,0.1605187397939092,0.0,
continuous,S3,0.4,pooling,1000,1.0,0.0,0.0,0.0,0.5159776458217938,0.5268228271618923,300.0,
