outcome,scenario,theta_true,method,R,decision,decision_mcse,coverage,coverage_mcse,bias,rmse,mean_M,mean_rhat
binary,S2,0.0,pooling,1000,0.29,0.01434921600645833,0.781,0.013078187947877183,0.32285784549230523,0.4532138874911183,300.0,
binary,S2,0.0,ps_power_prior,1000,0.116,0.010126401137620413,0.918,0.008676174272108645,0.11087582896465595,0.391763565900218,28.189435226007955,
binary,S2,0.0,ps_uip_c,1000,0.059,0.007451107300260815,0.929,0.008121514637061239,0.002148199990874441,0.3806941608226297,3.978860970615461,
binary,S2,0.0,standard_uip,1000,0.168,0.011822690049223147,0.887,0.010011543337567888,0.203637684350357,0.41271364385212067,300.0,
binary,S2,0.5878,no_borrowing,1000,0.567,0.015668790636165896,0.933,0.007906389820898028,0.04348980583138676,0.36781528814199216,0.0,
binary,S2,0.5878,pooling,1000,0.899,0.009528850927577784,0.823,0.012069424178476786,0.31656845241486414,0.4485707875648234,300.0,
binary,S2,0.5878,ps_power_prior,1000,0.686,0.01467664811869522,0.915,0.008819013550278736,0.1508345656778379,0.40254916511337024,27.942362897308275,
binary,S2,0.5878,ps_uip_c,1000,0.577,0.015622771841129857,0.938,0.00762600813007697,0.050282496312651546,0.36873298497886187,3.918537936992472,
binary,S2,0.5878,standard_uip,1000,0.79,0.01288021738946979,0.878,0.010349685985574635,0.2506377817719768,0.43188333073546,300.0,
binary,S3,0.0,no_borrowing,1000,0.061,0.0075682891065286355,0.931,0.008014923580421711,-0.025889447253642964,0.3863856008128704,0.0,
binary,S3,0.0,pooling,1000,0.684,0.014701836619960105,0.425,0.01563249820086348,0.5775511205835581,0.64032447265527,300.0,
binary,S3,0.0,ps_power_prior,1000,0.257,0.013818502089589886,0.818,0.01220147532063234,0.28961920249946954,0.4383624928951114,100.0,
binary,S3,0.0,ps_uip_c,1000,0.093,0.009184280047995052,0.909,0.009094998625618366,-0.00621984160169627,0.39871242468460427,21.06950215170881,
binary,S3,0.0,standard_uip,1000,0.474,0.01578999683343857,0.623,0.01532550162311172,0.46642045337207827,0.5645683909144666,300.0,
binary,S3,0.5878,no_borrowing,1000,0.594,0.015529455882290275,0.935,0.0077958322198467015,0.07007088717818345,0.3793956564743434,0.0,
binary,S3,0.5878,pooling,1000,0.998,0.0014127986409959495,0.367,0.015241751867813621,0.6177541197740113,0.6756124370007546,300.0,
binary,S3,0.5878,ps_power_prior,1000,0.931,0.008014923580421711,0.769,0.01332812815064441,0.38758899582407236,0.502193683750456,100.0,
binary,S3,0.5878,ps_uip_c,1000,0.616,0.015379986996093333,0.895,0.009694070352540258,0.09523161649404052,0.40139414405149304,23.280175233445988,
binary,S3,0.5878,standard_uip,1000,0.988,0.003443254274665176,0.515,0.01580427157448264,0.5697112453313382,0.6468407544444568,300.0,
continuous,I,0.0,no_borrowing,1000,0.058,0.007391616873188166,0.935,0.0077958322198467015,-0.004493725520243007,0.1494657682979439,0.0,
continuous,I,0.0,pooling,1000,0.05,0.006892024376045111,0.934,0.007851369307324675,-0.002692999830789229,0.11512543466469231,300.0,
continuous,I,0.0,ps_power_prior,1000,0.05,0.006892024376045111,0.949,0.006956938982052382,-0.0030495623447660226,0.12185393619987615,100.0,
continuous,I,0.0,ps_uip_c,1000,0.067,0.007906389820898032,0.913,0.008912407082264588,-0.003322941269569301,0.13540827546720885,144.60162789910288,
continuous,I,0.0,standard_uip,1000,0.052,0.007021111023192838,0.933,0.007906389820898028,-0.0027207142463553185,0.118087801974963,300.0,
