outcome,scenario,theta_true,method,R,decision,decision_mcse,coverage,coverage_mcse,bias,rmse,mean_M,mean_rhat
binary,S1,0.0,no_borrowing,1000,0.051,0.00695693898205238,0.944,0.007270763371201131,0.008072804530797489,0.36190340241550756,0.0,
binary,S1,0.0,ps_power_prior,1000,0.001,0.0009994998749374609,0.702,0.01446360950800318,-0.42831296257500034,0.5200249060908856,100.0,
binary,S1,0.0,ps_sam,1000,0.043,0.006414904519944158,0.828,0.011933817494833748,-0.15974376496349818,0.47773015166575583,81.82484687944245,
binary,S1,0.0,ps_uip_c,1000,0.053,0.00708456067798138,0.929,0.008121514637061239,-0.004944286622646185,0.3727053995158485,8.832810582965783,
binary,S1,0.0,ps_uip_psonly,1000,0.047,0.006692607862410586,0.901,0.009444522221901962,-0.06459500886685102,0.38773998080115607,40.29849405512043,
binary,S1,0.0,standard_uip,1000,0.0,0.0,0.423,0.015622771841129857,-0.6050820368149356,0.6704053259381555,300.0,
binary,S1,0.5878,no_borrowing,1000,0.573,0.015641962792437528,0.924,0.008379976133617564,0.06249466378260496,0.37319364080684236,0.0,
binary,S1,0.5878,ps_power_prior,1000,0.181,0.0121753439376471,0.754,0.013619251080731275,-0.37420386402725847,0.4708527044219851,100.0,
binary,S1,0.5878,ps_sam,1000,0.394,0.015451990163082553,0.832,0.011822690049223148,-0.10866176043782362,0.47328542002366536,84.85855899939583,
binary,S1,0.5878,ps_uip_c,1000,0.57,0.015655669899432602,0.914,0.008865889690267975,0.04726710489012664,0.38457452984855284,11.177714691268502,
binary,S1,0.5878,ps_uip_psonly,1000,0.527,0.01578831846651188,0.884,0.010126401137620413,-0.01385073154576297,0.3907607060226666,41.78246204119418,
binary,S1,0.5878,standard_uip,1000,0.067,0.007906389820898032,0.485,0.01580427157448264,-0.548025487841824,0.6134261786520737,300.0,
binary,S2,0.0,no_borrowing,1000,0.057,0.007331507348424334,0.932,0.00796090447122687,-0.006240917878386141,0.3798945436896523,0.0,
binary,S2,0.0,ps_power_prior,1000,0.111,0.00993373041711924,0.918,0.008676174272108645,0.10974278659737667,0.3919000430690136,28.189435226007955,
binary,S2,0.0,ps_sam,1000,0.072,0.008174105455644672,0.94,0.007509993342207438,0.03169023655074099,0.37723750310044213,9.07171057439315,
binary,S2,0.0,ps_uip_c,1000,0.061,0.0075682891065286355,0.927,0.008226238508577293,0.0011379839925930195,0.3790901984098067,3.978860970615461,
binary,S2,0.0,ps_uip_psonly,1000,0.062,0.007626008130076967,0.933,0.007906389820898028,0.0038240046309908314,0.3796160088750762,4.704943369563069,
